"_v [cm]","Freq [GHz]","_u []","im(NearEX) [V_per_meter]"
-73.5,2.4,-0.48,0.636024663346656
-73.5,2.4,-0.4725,0.264181043161192
-73.5,2.4,-0.465,-0.125504284084917
-73.5,2.4,-0.4575,-0.516558833544252
-73.5,2.4,-0.45,-0.892890842913011
-73.5,2.4,-0.4425,-1.23947036260039
-73.5,2.4,-0.435,-1.5429189137507
-73.5,2.4,-0.4275,-1.79198678331602
-73.5,2.4,-0.42,-1.97790451528247
-73.5,2.4,-0.4125,-2.09460260160174
-73.5,2.4,-0.405,-2.13880037197298
-73.5,2.4,-0.3975,-2.10997129787062
-73.5,2.4,-0.39,-2.0101971162679
-73.5,2.4,-0.3825,-1.84392718325457
-73.5,2.4,-0.375,-1.61766221397956
-73.5,2.4,-0.3675,-1.33958171542177
-73.5,2.4,-0.36,-1.0191495935394
-73.5,2.4,-0.3525,-0.666670751429596
-73.5,2.4,-0.345,-0.292897916935731
-73.5,2.4,-0.3375,0.0913674730102193
-73.5,2.4,-0.33,0.475633491159737
-73.5,2.4,-0.3225,0.850030801188851
-73.5,2.4,-0.315,1.20557330699365
-73.5,2.4,-0.3075,1.53436215905349
-73.5,2.4,-0.3,1.82973177699835
-73.5,2.4,-0.2925,2.08633909657306
-73.5,2.4,-0.285,2.3001994015912
-73.5,2.4,-0.2775,2.46867381288866
-73.5,2.4,-0.27,2.59041476113315
-73.5,2.4,-0.2625,2.66527657804285
-73.5,2.4,-0.255,2.69419873105007
-73.5,2.4,-0.2475,2.67906924527053
-73.5,2.4,-0.24,2.62257556006981
-73.5,2.4,-0.2325,2.52804951785804
-73.5,2.4,-0.225,2.39931244415338
-73.5,2.4,-0.2175,2.2405254128914
-73.5,2.4,-0.21,2.05604885734504
-73.5,2.4,-0.2025,1.85031473615295
-73.5,2.4,-0.195,1.62771353913654
-73.5,2.4,-0.1875,1.3924975534339
-73.5,2.4,-0.18,1.14873468846988
-73.5,2.4,-0.1725,0.900139175388566
-73.5,2.4,-0.165,0.650143769040914
-73.5,2.4,-0.1575,0.40181404178366
-73.5,2.4,-0.15,0.157838972239775
-73.5,2.4,-0.1425,-0.0794743053984163
-73.5,2.4,-0.135,-0.308195183891233
-73.5,2.4,-0.1275,-0.526755459357629
-73.5,2.4,-0.12,-0.73392813861967
-73.5,2.4,-0.1125,-0.928800833934917
