"_v [cm]","Freq [GHz]","_u []","re(NearEX) [V_per_meter]"
-73.5,2.4,0.2325,-1.91607988067555
-73.5,2.4,0.24,-1.66807607297842
-73.5,2.4,0.2475,-1.39640823333681
-73.5,2.4,0.255,-1.10361155294202
-73.5,2.4,0.2625,-0.792980373135217
-73.5,2.4,0.27,-0.468571019234861
-73.5,2.4,0.2775,-0.135180407176026
-73.5,2.4,0.285,0.201702624377485
-73.5,2.4,0.2925,0.535975671825296
-73.5,2.4,0.3,0.86103236926363
-73.5,2.4,0.3075,1.16990370263081
-73.5,2.4,0.315,1.45543019947404
-73.5,2.4,0.3225,1.71046266983863
-73.5,2.4,0.33,1.92808754339114
-73.5,2.4,0.3375,2.10187113651443
-73.5,2.4,0.345,2.2261154676351
-73.5,2.4,0.3525,2.29611661083488
-73.5,2.4,0.36,2.30841513984553
-73.5,2.4,0.3675,2.2610270772378
-73.5,2.4,0.375,2.15364303928323
-73.5,2.4,0.3825,1.98763797965393
-73.5,2.4,0.39,1.76676371170149
-73.5,2.4,0.3975,1.49627185485008
-73.5,2.4,0.405,1.18348382679651
-73.5,2.4,0.4125,0.837505493589516
-73.5,2.4,0.42,0.469011724534273
-73.5,2.4,0.4275,0.089945072450861
-73.5,2.4,0.435,-0.286866398367446
-73.5,2.4,0.4425,-0.648162416549465
-73.5,2.4,0.45,-0.980760457671843
-73.5,2.4,0.4575,-1.27210330929419
-73.5,2.4,0.465,-1.51082115759581
-73.5,2.4,0.4725,-1.68728186898616
-73.5,2.4,0.48,-1.79410101591136
-73.5,2.4,0.4875,-1.82658245406328
-73.5,2.4,0.495,-1.78306111437593
-73.5,2.4,0.5025,-1.66512226847825
-73.5,2.4,0.51,-1.47767590645415
-73.5,2.4,0.5175,-1.22887096550481
-73.5,2.4,0.525,-0.929841780737783
-73.5,2.4,0.5325,-0.594287983971079
-73.5,2.4,0.54,-0.237898723951326
-73.5,2.4,0.5475,0.122358010505676
-73.5,2.4,0.555,0.469050624706375
-73.5,2.4,0.5625,0.785164816371636
-73.5,2.4,0.57,1.05510684025667
-73.5,2.4,0.5775,1.26518001705118
-73.5,2.4,0.585,1.40493122478514
-73.5,2.4,0.5925,1.46745744465525
-73.5,2.4,0.6,1.44996035240076
-73.5,2.4,0.6075,1.35400289392684
-73.5,2.4,0.615,1.18552129837127
-73.5,2.4,0.6225,0.954579504115776
-73.5,2.4,0.63,0.674868623972334
-73.5,2.4,0.6375,0.362970650969229
-73.5,2.4,0.645,0.0374220229991212
-73.5,2.4,0.6525,-0.282372240842731
-73.5,2.4,0.66,-0.577310511660803
-73.5,2.4,0.6675,-0.829780265295014
-73.5,2.4,0.675,-1.02478059443378
-73.5,2.4,0.6825,-1.15090509262799
-73.5,2.4,0.69,-1.20111461027161
-73.5,2.4,0.6975,-1.17324063566327
-73.5,2.4,0.705,-1.07017614785795
-73.5,2.4,0.7125,-0.899730833281575
-73.5,2.4,0.72,-0.674150303094123
-73.5,2.4,0.7275,-0.40932284978019
-73.5,2.4,0.735,-0.123720605958627
-73.5,2.4,0.7425,0.162857083100883
-73.5,2.4,0.75,0.430653414372687
-72.75,2.4,-0.75,0.883814281454071
-72.75,2.4,-0.7425,0.692944188153607
-72.75,2.4,-0.735,0.445939238298594
-72.75,2.4,-0.7275,0.159878049878414
-72.75,2.4,-0.72,-0.145228920802912
-72.75,2.4,-0.7125,-0.447890572085242
-72.75,2.4,-0.705,-0.726673602356944
-72.75,2.4,-0.6975,-0.96171496428197
-72.75,2.4,-0.69,-1.13610055039441
-72.75,2.4,-0.6825,-1.23701552231873
-72.75,2.4,-0.675,-1.25659125835316
-72.75,2.4,-0.6675,-1.19239806928111
-72.75,2.4,-0.66,-1.04755961101203
-72.75,2.4,-0.6525,-0.830152427852039
-72.75,2.4,-0.645,-0.553955113322776
-72.75,2.4,-0.6375,-0.235544287564782
-72.75,2.4,-0.63,0.105536371430818
-72.75,2.4,-0.6225,0.448356207551832
-72.75,2.4,-0.615,0.771923031085026
-72.75,2.4,-0.6075,1.05647720615533
-72.75,2.4,-0.6,1.28467331557055
-72.75,2.4,-0.5925,1.44257953243982
-72.75,2.4,-0.585,1.52043998567166
-72.75,2.4,-0.5775,1.51316324145138
-72.75,2.4,-0.57,1.42051915953787
-72.75,2.4,-0.5625,1.24704546088519
-72.75,2.4,-0.555,1.00158143640547
